artist,track
josé gonzalez , smalltown boy
Jose Gonzalez , Storm
Jose Gonzalez , Far Away [LYRICS]
José Gonsalez , Put Your Hand On Your Heart
Broken Arrows , José González
Save Your Day , José González
Hints , José González
Stay In The Shade , José González
All You Deliver , José González
Deadweight On Velveteen , José González
Crosses , José González
Heartbeats , José González
Bon Iver , re: Stacks
Creature Fear , Bon Iver
Bon Iver , Blindsided
Bon Iver , The Wolves
Bon Iver , for Emma
Bon Iver , Flume
Bon Iver , Stacks
Bon Iver ," ""Towers"" (Official Video)"
CHARICE SINGING IMPRESSIONS ," Justin Bieber, Lady Gaga, Britney Spears, Rihanna"
Calvin Harris , This Is What You Came For (Official Video) ft. Rihanna
Bon Iver , Love More
Blue Tulip , Bon Iver
Bon Iver , Calgary
James Blake , I Need A Forest Fire (ft. Bon Iver)
M.I.A. , Go Off
Hurray For The Riff Raff, Young Blood Blues
Hurray for the Riff Raff , St. Roch Blues
Bibi Bourelly , Ego
Chance the Rapper ft. 2 Chainz & Lil Wayne , No Problem (Official Video)
Francis and the Lights , Friends ft. Bon Iver and Kanye West
Sin Bandera , Mientes tan bien (TUTORIAL UKULELE)
Shakira , Antología (TUTORIAL UKULELE)
Manuel Medrano ,  Bajo el agua (TUTORIAL UKULELE)
